TF,Target
E2F1,SNTB2
E2F1,SOCS2
E2F1,SP110
E2F1,SP3
E2F1,SPOCK1
E2F1,SSTR1
E2F1,ST13
E2F1,STAM
E2F1,STX11
E2F1,SUCLG1
E2F1,SYNE2
E2F1,TAF5L
E2F1,TBC1D16
E2F1,TERT
E2F1,TGFB2
E2F1,THBS1
E2F1,THOC5
E2F1,TK1
E2F1,TMBIM1
E2F1,TMCO5A
E2F1,TMEM132A
E2F1,TMEM47
E2F1,TNFSF11
E2F1,TOP1
E2F1,TOP2A
E2F1,TOR1B
E2F1,TP53
E2F1,TP53BP2
E2F1,TP73
E2F1,TRERF1
E2F1,TRIT1
E2F1,TRPM2
E2F1,TSNARE1
E2F1,TXNDC15
E2F1,TYMS
E2F1,UBN1
E2F1,UBP1
E2F1,UHRF1
E2F1,ULK1
E2F1,UTRN
E2F1,VCP
E2F1,VEGFA
E2F1,VMP1
E2F1,VPS35L
E2F1,WDR25
E2F1,WRAP73
E2F1,WWOX
E2F1,XRCC1
E2F1,YBX3
E2F1,YME1L1
E2F1,ZEB1
E2F1,ZMYM2
E2F1,ZNF292
E2F1,ZNF350
E2F1,ZNF616
E2F1,ZNF654
E2F2,ASF1B
E2F2,CDC6
E2F2,CDCA4
E2F2,CDCA7
E2F2,CDT1
E2F2,E2F1
E2F2,MAP3K5
E2F2,MCM10
E2F2,MCM5
E2F2,MCM6
E2F2,MCM7
E2F2,MYCN
E2F2,PLK1
E2F2,PLK4
E2F3,AURKA
E2F3,CDC6
E2F3,CDKN1A
E2F3,CDKN2A
E2F3,E2F1
E2F3,MAP3K5
E2F3,MCM5
E2F3,MCM6
E2F3,MCM7
E2F3,MYCN
E2F3,PLK1
E2F3,TP53BP2
E2F3,TP73
E2F4,ACTG1
E2F4,ACTR5
E2F4,ADARB1
E2F4,AKR7A2
E2F4,ALDH5A1
E2F4,ANAPC15
E2F4,ANLN
E2F4,ANTKMT
E2F4,APRT
E2F4,ASF1B
E2F4,AURKB
E2F4,BACH1
E2F4,BARD1
E2F4,BCL11A
E2F4,BIRC5
E2F4,BORA
E2F4,BRCA1
E2F4,BUB3
E2F4,CALM1
E2F4,CALR
E2F4,CAV1
E2F4,CBX5
E2F4,CCNA2
E2F4,CCNB1
E2F4,CCND1
E2F4,CDC25A
E2F4,CDC25C
E2F4,CDC37L1
E2F4,CDC45
E2F4,CDC6
E2F4,CDCA4
E2F4,CDCA7
E2F4,CDK1
E2F4,CDK2
E2F4,CDKN2C
E2F4,CDT1
E2F4,CENPE
E2F4,CENPO
E2F4,CFAP20
E2F4,CHEK1
E2F4,CIB2
E2F4,CKS2
E2F4,CREG1
E2F4,CSE1L
E2F4,CTH
E2F4,CUTC
E2F4,CUX1
E2F4,CYP27B1
E2F4,DBF4
E2F4,DDX11
E2F4,DERL2
E2F4,DHFR
E2F4,DHPS
E2F4,DIRAS3
E2F4,DLEU1
E2F4,DROSHA
E2F4,DUT
E2F4,E2F1
E2F4,E2F2
E2F4,E2F3
E2F4,E2F8
E2F4,EIF2B2
E2F4,EIF4H
E2F4,EPAS1
E2F4,EXOSC9
E2F4,FAM210B
E2F4,FANCC
E2F4,FBXO5
E2F4,FDFT1
E2F4,FEN1
E2F4,FOXM1
E2F4,FST
E2F4,GABPA
E2F4,GADD45A
E2F4,GINS1
E2F4,GMNN
E2F4,GNAS
E2F4,GNPTG
E2F4,GPANK1
E2F4,H2AZ1
E2F4,H2BC11
E2F4,H2BC21
E2F4,H3C2
E2F4,HAGHL
E2F4,HCFC1
E2F4,HLTF
E2F4,HMGB1
E2F4,HMGB3
E2F4,HMGN2
E2F4,HMMR
E2F4,HNRNPD
E2F4,ID3
E2F4,IFNAR2
E2F4,IKBKG
E2F4,INSIG1
E2F4,ITGB3BP
E2F4,JUN
E2F4,KATNAL1
E2F4,KDM6A
E2F4,KHDRBS1
E2F4,KLF10
E2F4,KLHL21
E2F4,LGALS1
E2F4,LIN54
E2F4,LUC7L
E2F4,MAD2L1
E2F4,MAP3K5
E2F4,MAP3K7
E2F4,MAPRE1
E2F4,MBP
E2F4,MCM10
E2F4,MCM3
E2F4,MCM5
E2F4,MCM6
E2F4,MCM7
E2F4,MCM8
E2F4,METTL3
E2F4,MFAP1
E2F4,MKI67
E2F4,MLH1
E2F4,MSH2
E2F4,MTHFD1
E2F4,MYBL2
E2F4,MYC
E2F4,MYCL
E2F4,NAP1L4
E2F4,NASP
E2F4,NCL
E2F4,NDC80
E2F4,NEK2
E2F4,NFE2L1
E2F4,NFKB2
E2F4,NPAT
E2F4,NUSAP1
E2F4,NXT1
E2F4,OGFR
E2F4,ORC1
E2F4,P4HA2
E2F4,PARK7
E2F4,PCLAF
E2F4,PCNA
E2F4,PCNT
E2F4,PDXK
E2F4,PDXP
E2F4,PGRMC1
E2F4,PIGQ
E2F4,PIM2
E2F4,PKN2
E2F4,PLCG1
